sample_index,value,component
1,1.0790513112214308,1
2,-2.1586536082930623,0
3,2.2881015980085828,1
4,-1.3883950414621706,0
5,0.63083694873710361,1
6,-2.205066139585961,0
7,0.24768739761931924,1
8,-0.64174607200581046,0
9,1.5374838508849744,1
10,1.9447739896952205,1
11,-2.0027769541718805,0
12,-1.4651848465425514,0
13,0.02677686656609346,1
14,-1.6754958477748363,0
15,0.87745453072274016,1
16,2.5864400137861683,1
17,-0.16230145341573698,0
18,-0.065283451853091368,1
19,1.3086015981626051,1
20,-2.2175521133641598,0
21,-1.3813638635763357,0
22,-1.5492321936373949,0
23,-1.2005149768905128,0
24,-0.49079378478490776,0
25,0.5579903820270663,1
26,-0.94599183914962093,0
27,-1.0446440494885092,0
28,1.8218434600218383,1
29,-0.7968098467126008,0
30,2.5669362818436152,1
31,-1.3086804919699724,0
32,-0.22285643980198966,1
33,-2.1540411563612336,0
34,-1.2866638268323987,0
35,-2.261705456731387,0
36,-1.8293510175481915,0
37,-0.57666634588151511,0
38,1.0383144918463483,1
39,0.768538303266181,1
40,-1.723726074841851,0
41,-1.1864465824008177,0
42,-2.0578205526834346,0
43,-0.6403148033000744,0
44,0.20130151270033347,1
45,-0.5682464794558677,0
46,1.7239239321078597,1
47,-2.7733362779067061,0
48,-0.28052459305969124,0
49,-0.41563044154469331,0
50,-2.8633117654107254,0
51,1.0256968230560815,1
52,0.47686631860192941,1
53,3.2102174355820559,1
54,0.34894287797396739,0
55,-2.6203774517367577,0
56,-1.3106541270466197,0
57,-1.3960294053478066,0
58,1.3374149176698171,1
59,-1.8090195934122877,0
60,-2.507300834357574,0
61,0.61666857469371894,1
62,1.8167805461864353,1
63,-3.2989168168988994,0
64,-1.0127402079566761,0
65,0.45814503921812899,1
66,-1.6056839038855293,0
67,0.41011013826496012,1
68,0.75879236351255441,0
69,-3.9557427114823844,0
70,2.5938092587146633,1
71,-0.24027906835582757,0
72,0.43166160591931857,1
73,-1.0220398550045671,0
74,1.2946089065944808,1
75,-2.5787358231596018,0
76,-3.8902542226036156,0
77,2.495158459094287,1
78,-0.67516461670593642,0
79,1.0669795838532203,1
80,-0.4301623184819876,0
81,1.0132777366776238,1
82,1.7098487793653625,1
83,0.77173195672941886,1
84,-1.5676996902264329,0
85,-2.6364885121621304,0
86,1.2717255271021859,1
87,-1.3587846274407029,0
88,-0.44380391646596695,0
89,0.64687244124939536,1
90,2.8000958651018895,1
91,-1.2482784401306666,0
92,-0.96195636212667668,0
93,1.5352300228733586,1
94,-3.153904970575931,0
95,-0.95008187477607131,0
96,-0.79036822794545292,0
97,-2.6215375615570298,0
98,-3.2698020275613024,0
99,1.5359731054809145,1
100,0.72249882228231999,1
101,2.6067997752651668,1
102,-1.3692892469777302,0
103,0.40067191196728558,1
104,-2.5209592725067997,0
105,-2.0017648248201443,0
106,2.2259676697308075,1
107,0.59628168114955904,1
108,2.2011761981328357,1
109,1.5224062785861721,1
110,2.5294706696867673,1
111,1.0381973996682914,1
112,-1.2397609987098355,0
113,-0.66413748489472113,0
114,-1.9148369066460946,0
115,-0.6955220406517606,0
116,2.4691599666793618,1
117,-1.8463298611028538,0
118,-2.8486013866139333,0
119,0.5098963860736514,1
120,0.26908649439211652,1
121,0.48573628185368634,0
122,0.32646198723996589,1
123,-3.7573406129326887,0
124,-0.55894143770507287,0
125,-2.2001969033663817,0
126,-0.97326371912731169,0
127,-1.016157910104643,0
128,-0.90164908308651537,0
129,0.89133181835835162,1
130,-1.549607759540758,0
131,2.0454864146184453,1
132,-1.6395747028477234,0
133,-1.9037932496324403,0
134,-0.66991255887543555,0
135,0.49111015284784498,0
136,-0.22242026497586154,0
137,2.0265847999495117,1
138,-1.6116970338633494,0
139,1.3368085665948637,1
140,-1.9885170660501568,0
141,-2.6356071264715806,0
142,1.0457883498356852,1
143,1.0774069389633714,1
144,-0.75857233550945158,0
145,0.88752067301998327,1
146,0.047873841409692419,0
147,1.1445536970033099,1
148,-0.42352372453460063,1
149,-0.066982091101984942,0
150,-1.1590324467917821,0
151,1.2432961004381538,1
152,-0.22825742825826789,0
153,-2.1333977750616793,0
154,-1.1178329837379857,1
155,0.13013238412054573,1
156,-2.3694064834539672,0
157,0.87842850008182449,1
158,-1.3773867787767788,0
159,0.30104786892400925,1
160,3.2341871757985445,1
161,-1.0091404977455203,1
162,1.7148114807299886,1
163,-1.1051919033382538,0
164,-0.58988859563980856,1
165,-3.2031854843295449,0
166,1.4319109204644243,1
167,0.24604421686078526,1
168,1.6857164822134958,1
169,-0.92061474631480777,0
170,1.7609196814342796,1
171,0.90984421200030929,1
172,-2.7986448801239741,0
173,-0.011002063274099472,1
174,-2.7852668100546509,0
175,-1.9588745059790547,0
176,0.76555123179832796,0
177,1.1916136300833831,1
178,1.0853902032297751,1
179,-2.7194868680989117,0
180,-0.9877941531114568,0
181,0.26211774659332598,1
182,1.111584839419923,1
183,1.2317124302905913,1
184,0.4172747600190857,1
185,1.0178945683367751,1
186,-0.04622602656180419,1
187,1.3330721704635564,1
188,1.7653659058595577,1
189,-0.81635208194484687,0
190,1.7315294315391665,1
191,0.038279630409490339,1
192,0.53527580076654901,0
193,-1.3479161969922007,0
194,0.61337159198625268,1
195,1.1938166470280061,1
196,1.4248326191182026,1
197,-1.2591440568368186,0
198,-0.5607582338971222,0
199,0.47581406187279285,1
200,-0.71803676888092682,0
201,0.58268098479731889,1
202,-2.0316562795166462,0
203,-0.93292271597876808,0
204,-1.5377579205640943,0
205,0.055937468164562798,0
206,0.9473914203660232,1
207,-0.2564430241238278,1
208,2.4838783040842394,1
209,0.21082443745920232,0
210,0.67763895485815195,1
211,-0.072307472534034245,0
212,-1.7716287311471697,0
213,-1.8515590180047885,0
214,0.02441151089784821,1
215,0.55763827597522875,0
216,-2.2305776115526812,0
217,0.99375075981561389,1
218,0.37601174145871996,1
219,1.6719757982191958,1
220,0.44432406732488405,1
221,2.0756459443788922,1
222,2.5036283213682582,1
223,-1.323134783932322,0
224,1.252116756941748,1
225,1.0711192741519844,1
226,-0.77599842633771177,1
227,3.9009612647715635,1
228,-3.0519303877299464,0
229,0.66045908748111637,1
230,-0.12879109129491995,1
231,-1.6889032422637709,0
232,-1.3942308595114035,0
233,2.0256363453861299,1
234,-1.4547219966068028,0
235,0.8940495842219387,1
236,1.6473724697365308,1
237,1.5317881487073095,1
238,-2.1152527448052032,0
239,1.0032481600897107,1
240,-0.95923890652538335,0
241,-0.77968639896009551,0
242,1.6244701369574774,1
243,1.6587216747275684,1
244,0.48376000473775482,1
245,0.6818112595800736,1
246,2.9197572460480288,1
247,2.8160438693771663,1
248,2.2757803556789407,1
249,1.6072453672675806,1
250,-0.25991107059385432,1
251,1.6292060139101932,1
252,-0.22918070149723979,1
253,0.31325873661914283,1
254,-3.5308487846027998,0
255,0.35897624042712284,1
256,-2.6948581355604491,0
257,-1.2621467391217214,0
258,-3.1843883915427744,0
259,-2.7097507995008234,0
260,-0.29299699708276183,0
261,0.93364078994254918,1
262,1.500239347575905,1
263,-0.45880610425162638,0
264,-0.85467167030859903,0
265,2.4845822363151577,1
266,-0.9523898010903743,0
267,2.2950535373426328,1
268,-2.0879423075510646,0
269,1.9684604516813988,1
270,1.9072699070087049,1
271,-3.3928290168956186,0
272,0.14788511341260913,0
273,0.19426804050578972,0
274,0.75622921497814422,1
275,1.3279344267273407,1
276,-1.2177595340843332,0
277,-2.3204482897209284,0
278,-1.2589048187053593,0
279,0.73873877911670749,1
280,-0.37138220226027574,0
281,-0.38439368656744177,0
282,2.7010707926916941,1
283,1.5999714163957504,1
284,-0.63708851810144018,0
285,2.0694672238623135,1
286,2.2705396789633765,1
287,-0.23482632714382734,0
288,-0.64001877518034733,0
289,2.4216253448161056,1
290,0.081451169257567235,1
291,0.93023384332641568,1
292,2.8166952329161425,1
